feature,importance
solar_irradiance,0.5612003294673085
hour,0.15801414862893223
price_rolling_mean_6,0.055083304991601065
price_rolling_mean_24,0.04509304995703383
price_lag_24,0.030480306388621703
price_rolling_std_6,0.021616366811553062
price_rolling_std_12,0.01334122395155201
price_rolling_std_24,0.013222493376411477
wind_speed,0.013217031980867261
volume,0.012177107274971443
price_rolling_mean_12,0.011123483776256342
day_of_week,0.010939290109588379
price_lag_1,0.010642231331890437
price_lag_12,0.010147681454124546
price_lag_3,0.009141650236477361
temp_squared,0.006729638028884255
wind_solar_interaction,0.006445031199014746
temperature,0.00561429474522535
is_weekend,0.004985420622495975
month,0.0007859156671901852
